Borough,CD,lifeExpectancy,premature,pollution
Manhattan,101,85,1.0,11.1
Manhattan,102,84,1.4,10.9
Manhattan,103,81,1.9,9.9
Manhattan,104,82,1.3,11.4
Manhattan,105,83,1.5,14.3
Manhattan,106,85,1.0,12.3
Manhattan,107,84,1.1,10.3
Manhattan,108,85,1.0,11.1
Manhattan,109,80,1.9,9.8
Manhattan,110,75,3.0,9.6
Manhattan,111,76,3.3,9.7
Manhattan,112,83,1.5,9.5
Bronx,201,76,3.4,10.0
Bronx,202,78,2.6,9.8
Bronx,203,75,3.6,9.4
Bronx,204,77,2.5,10.0
Bronx,205,79,2.7,10.1
Bronx,206,77,2.9,9.5
Bronx,207,79,2.3,9.4
Bronx,208,80,1.8,8.9
Bronx,209,79,2.4,8.9
Bronx,210,80,1.9,8.7
Bronx,211,79,2.2,8.7
Bronx,212,80,2.1,8.7
Brooklyn,301,80,1.7,10.1
Brooklyn,302,79,2.1,9.5
Brooklyn,303,75,3.2,8.8
Brooklyn,304,79,2.3,8.8
Brooklyn,305,78,2.8,8.7
Brooklyn,306,80,1.4,9.4
Brooklyn,307,82,1.2,9.4
Brooklyn,308,78,2.4,9.2
Brooklyn,309,80,2.1,8.8
Brooklyn,310,81,1.6,8.6
Brooklyn,311,82,1.4,8.4
Brooklyn,312,83,1.3,8.2
Brooklyn,313,80,2.3,8.5
Brooklyn,314,82,1.8,8.0
Brooklyn,315,83,1.5,8.6
Brooklyn,316,74,3.7,8.6
Brooklyn,317,82,2.2,8.7
Brooklyn,318,81,1.6,8.2
Queens,401,82,1.3,8.9
Queens,402,84,1.1,10.1
Queens,403,84,1.2,8.4
Queens,404,84,1.1,8.9
Queens,405,81,1.6,8.8
Queens,406,84,1.0,8.7
Queens,407,84,1.1,8.4
Queens,408,83,1.4,8.2
Queens,409,82,1.3,8.4
Queens,410,81,1.7,8.0
Queens,411,84,0.9,8.1
Queens,412,79,1.9,8.3
Queens,413,82,1.2,7.9
Queens,414,76,2.9,7.6
Staten Island,501,78,2.2,8.1
Staten Island,502,80,1.7,8.1
Staten Island,503,81,1.5,7.8
