Borough,CD,male,female,caucasian,aa,ai,asian,hawaiian,other
Bronx,201,49.3,50.7,21.8,34.7,0.6,0.9,0.1,38.8 
Bronx,202,49.3,50.7,21.8,34.7,0.6,0.9,0.1,38.8 
Bronx,203,45.5,54.5,15.3,34.6,0.6,0.7,0.1,45.0
Bronx,204,47.7,52.3,16.7,38.3,0.7,1.3,0.0,40.3
Bronx,205,47.0,53.0,12.9,33.7,0.8,1.1,0.1,47.3
Bronx,206,45.5,54.5,15.3,34.6,0.6,0.7,0.1,45.0
Bronx,207,46.8,53.2,17.0,21.4,0.6,6.6,0.1,50.5
Bronx,208,47.1,52.9,45.5,15.5,0.4,5.4,0.1,29.0
Bronx,209,47.3,52.7,14.0,34.2,0.4,7.2,0.0,38.4
Bronx,210,46.7,53.3,45.6,28.2,0.4,2.2,0.0,20.0
Bronx,211,47.8,52.2,34.9,23.1,0.5,8.4,0.0,29.4
Bronx,212,44.9,55.1,10.8,68.5,0.5,1.8,0.0,16.1
Brooklyn,301,49.2,50.8,78.7,4.8,0.5,5.4,0.0,8.4
Brooklyn,302,48.4,51.6,50.2,28.3,0.2,7.5,0.0,9.3
Brooklyn,303,46.3,53.7,23.6,63.6,0.3,2.8,0.0,7.2
Brooklyn,304,49.3,50.7,41.4,22.9,0.5,3.8,0.0,28.0
Brooklyn,305,44.4,55.6,28.2,58.6,0.3,3.4,0.0,8.0
Brooklyn,306,47.7,52.3,70.0,8.4,0.4,6.2,0.0,10.7
Brooklyn,307,51.0,49.0,38.9,3.4,1.5,31.3,0.1,22.4
Brooklyn,308,45.1,54.9,21.4,66.3,0.2,3.2,0.3,6.3
Brooklyn,309,46.0,54.0,17.0,74.3,0.2,1.9,0.0,5.2
Brooklyn,310,48.4,51.6,66.2,1.9,0.4,24.3,0.3,4.7
Brooklyn,311,48.8,51.2,55.8,0.9,0.6,35.8,0.0,5.5
Brooklyn,312,50.5,49.5,76.2,1.8,0.2,13.8,0.0,7.1
Brooklyn,313,46.1,53.9,67.5,11.5,0.4,14.3,0.0,4.1
Brooklyn,314,46.6,53.4,43.3,35.7,0.1,9.1,0.0,9.6
Brooklyn,315,47.8,52.2,77.3,3.8,0.1,15.6,0.1,1.6
Brooklyn,316,42.5,57.5,7.0,80.1,0.1,1.2,0.1,10.2
Brooklyn,317,44.7,55.3,2.4,92.1,0.2,1.2,0.0,2.7
Brooklyn,318,46.4,53.6,27.0,64.6,0.2,3.5,0.0,3.4
Manhattan,101,48.9,51.1,77.4,2.1,0.1,14.3,0.0,2.7
Manhattan,102,48.9,51.1,77.4,2.1,0.1,14.3,0.0,2.7
Manhattan,103,48.2,51.8,42.2,8.2,0.4,33.5,0.0,12.2
Manhattan,104,50.8,49.2,72.7,6.1,0.5,12.6,0.0,4.0
Manhattan,105,50.8,49.2,72.7,6.1,0.5,12.6,0.0,4.0
Manhattan,106,45.0,55.0,76.7,4.1,0.2,13.9,0.0,3.3
Manhattan,107,46.5,53.5,76.1,9.2,0.3,8.1,0.0,3.1
Manhattan,108,44.0,56.0,84.8,3.1,0.1,8.7,0.2,1.2
Manhattan,109,44.9,55.1,37.8,28.2,0.2,8.1,0.0,14.9
Manhattan,110,45.8,54.2,15.7,65.0,0.3,3.6,0.1,10.4,
Manhattan,111,47.5,52.5,28.9,34.8,0.2,7.7,0.0,24.7
Manhattan,112,49.4,50.6,36.0,12.4,0.5,2.6,0.1,43.1
Queens,401,49.2,50.8,65.7,8.0,0.4,13.2,0.0,9.8
Queens,402,49.4,50.6,49.3,2.2,0.2,35.7,0.2,10.0
Queens,403,52.4,47.6,43.9,6.7,0.7,16.9,0.0,28.4
Queens,404,51.7,48.3,42.8,7.5,0.4,33.6,0.2,13.6
Queens,405,48.9,51.1,81.8,1.6,0.2,7.3,0.0,7.4
Queens,406,46.7,53.3,65.8,3.1,0.1,24.5,0.0,4.1
Queens,407,48.4,51.6,35.5,2.4,0.5,50.5,0.0,8.2
Queens,408,47.8,52.2,40.2,13.1,0.3,30.8,0.0,10.6
Queens,409,49.4,50.6,34.6,9.1,0.4,24.4,0.0,25.6
Queens,410,47.5,52.5,34.4,16.3,0.7,19.3,0.1,23.0
Queens,411,48.0,52.0,51.2,2.0,0.3,39.2,0.2,4.1
Queens,412,46.1,53.9,5.3,65.1,0.4,10.8,0.1,15.0
Queens,413,46.6,53.4,18.1,57.5,0.3,15.4,0.1,4.4
Queens,414,46.9,53.1,47.2,39.0,0.3,2.9,0.0,7.6
Staten Island,501,48.3,51.7,56.2,24.3,0.3,8.1,0.0,8.5
Staten Island,502,47.4,52.6,80.9,4.0,0.1,11.7,0.0,1.7
Staten Island,503,49.4,50.6,92.1,1.3,0.0,4.6,0.0,0.8
